Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
601000.SS,2.68,2020/09/15,15:00 CST,-0.06999993,2.74,2.75,2.65,58877644,,,,,,,
600794.SS,3.69,2020/09/15,15:00 CST,-0.20000005,3.78,3.81,3.67,57860143,,,,,,,
002594.SZ,101.3,2020/09/15,16:29 CST,8.800003,94.01,101.75,93.5,57922128,,,,,,,
300066.SZ,6.19,2020/09/15,16:29 CST,-0.07000017,6.27,6.43,6.06,58032739,,,,,,,
600195.SS,15.04,2020/09/15,15:00 CST,-1.6500006,16.7,16.81,15.02,58997690,,,,,,,
300261.SZ,8.21,2020/09/15,16:29 CST,-0.17000008,8.4,8.58,8.06,58117227,,,,,,,
000002.SZ,27.87,2020/09/15,16:29 CST,0.17000008,27.65,28.09,27.48,58423226,,,,,,,
300368.SZ,19.43,2020/09/15,16:29 CST,-0.52000046,20.25,20.66,19.01,58675118,,,,,,,
600291.SS,5.91,2020/09/15,15:00 CST,-0.34000015,6.24,6.27,5.88,59393206,,,,,,,
600478.SS,4.17,2020/09/15,15:00 CST,-0.17999983,4.21,4.25,4.12,60727089,,,,,,,
002488.SZ,7.97,2020/09/15,16:29 CST,0.52,7.49,8.09,7.36,60234392,,,,,,,
300278.SZ,6.77,2020/09/15,16:29 CST,-0.01999998,6.98,7.18,6.61,59623584,,,,,,,
002031.SZ,2.16,2020/09/15,16:29 CST,0.0,2.17,2.19,2.12,59247859,,,,,,,
002340.SZ,5.14,2020/09/15,16:29 CST,-0.07999992,5.22,5.22,5.12,59835748,,,,,,,
000157.SZ,8.3,2020/09/15,16:29 CST,0.2300005,8.04,8.32,7.97,59370148,,,,,,,
300194.SZ,6.41,2020/09/15,16:29 CST,-0.23000002,6.66,6.68,6.33,60858717,,,,,,,
000552.SZ,2.78,2020/09/15,16:29 CST,0.089999914,2.67,2.91,2.64,60283632,,,,,,,
600339.SS,3.19,2020/09/15,15:00 CST,0.10000014,3.1,3.31,3.07,61451191,,,,,,,
